Canción,Artista,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
First Field,The Antlers,0.561,0.261,2,-17.757,1,0.0547,0.746,0.872,0.127,0.279,74.91,audio_features,3irtiZ6iy1C7CmMdzF11rT,spotify:track:3irtiZ6iy1C7CmMdzF11rT,https://api.spotify.com/v1/tracks/3irtiZ6iy1C7CmMdzF11rT,https://api.spotify.com/v1/audio-analysis/3irtiZ6iy1C7CmMdzF11rT,102107,4
Good Morning,Ralph Castelli,0.786,0.659,0,-10.861,1,0.034,0.644,0.0442,0.104,0.311,117.003,audio_features,6rEkaGgEj1HLWZ9mjcZDjP,spotify:track:6rEkaGgEj1HLWZ9mjcZDjP,https://api.spotify.com/v1/tracks/6rEkaGgEj1HLWZ9mjcZDjP,https://api.spotify.com/v1/audio-analysis/6rEkaGgEj1HLWZ9mjcZDjP,262564,4
Blood,The Middle East,0.473,0.478,11,-8.585,1,0.0282,0.0984,0.0747,0.118,0.116,79.043,audio_features,5eeMft4YZx0Xdf9yJPNZJY,spotify:track:5eeMft4YZx0Xdf9yJPNZJY,https://api.spotify.com/v1/tracks/5eeMft4YZx0Xdf9yJPNZJY,https://api.spotify.com/v1/audio-analysis/5eeMft4YZx0Xdf9yJPNZJY,326920,4
Let Me In,Snowmine,0.188,0.675,6,-6.188,1,0.0379,0.206,0.0962,0.662,0.617,70.682,audio_features,0jcHQTvfHCH1LETpdMdHJo,spotify:track:0jcHQTvfHCH1LETpdMdHJo,https://api.spotify.com/v1/tracks/0jcHQTvfHCH1LETpdMdHJo,https://api.spotify.com/v1/audio-analysis/0jcHQTvfHCH1LETpdMdHJo,219227,4
Sometimes,Goth Babe,0.445,0.563,7,-8.904,1,0.0315,0.105,0.000271,0.179,0.204,94.978,audio_features,7oJmIBxEAYjfkS7lhZ7M1S,spotify:track:7oJmIBxEAYjfkS7lhZ7M1S,https://api.spotify.com/v1/tracks/7oJmIBxEAYjfkS7lhZ7M1S,https://api.spotify.com/v1/audio-analysis/7oJmIBxEAYjfkS7lhZ7M1S,262737,4
Umpqua Rushing,Blind Pilot,0.472,0.584,0,-7.119,1,0.0347,0.23,0.00746,0.193,0.432,78.007,audio_features,2ZzoFGdygE4uLVHUGAaR0O,spotify:track:2ZzoFGdygE4uLVHUGAaR0O,https://api.spotify.com/v1/tracks/2ZzoFGdygE4uLVHUGAaR0O,https://api.spotify.com/v1/audio-analysis/2ZzoFGdygE4uLVHUGAaR0O,254747,4
Solo,Oh Wonder,0.567,0.644,0,-7.005,1,0.0488,0.434,0.000319,0.463,0.34,108.061,audio_features,7HHwxrSIIqyIMmpbSfgXeA,spotify:track:7HHwxrSIIqyIMmpbSfgXeA,https://api.spotify.com/v1/tracks/7HHwxrSIIqyIMmpbSfgXeA,https://api.spotify.com/v1/audio-analysis/7HHwxrSIIqyIMmpbSfgXeA,204933,4
Woman,Mumford & Sons,0.592,0.555,1,-10.499,0,0.0381,0.662,0.452,0.111,0.142,156.957,audio_features,47DKI4RxI8ZW0sBqDenMhO,spotify:track:47DKI4RxI8ZW0sBqDenMhO,https://api.spotify.com/v1/tracks/47DKI4RxI8ZW0sBqDenMhO,https://api.spotify.com/v1/audio-analysis/47DKI4RxI8ZW0sBqDenMhO,274553,4
Nine,La Dispute,0.575,0.408,5,-6.848,1,0.0302,0.913,0.493,0.0892,0.0321,100.027,audio_features,299KUyIYhezxrtXiwNamtP,spotify:track:299KUyIYhezxrtXiwNamtP,https://api.spotify.com/v1/tracks/299KUyIYhezxrtXiwNamtP,https://api.spotify.com/v1/audio-analysis/299KUyIYhezxrtXiwNamtP,160000,4
La Lune,Billie Marten,0.296,0.342,2,-11.879,1,0.0471,0.882,0.000967,0.0748,0.0794,52.001,audio_features,0DwaOWI1kC2s98qLj0LTDd,spotify:track:0DwaOWI1kC2s98qLj0LTDd,https://api.spotify.com/v1/tracks/0DwaOWI1kC2s98qLj0LTDd,https://api.spotify.com/v1/audio-analysis/0DwaOWI1kC2s98qLj0LTDd,187267,4
