Canción,Artista,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
They Stay Down Deep,Giselle,0.395,0.372,3,-9.665,1,0.0385,0.972,0.00109,0.173,0.475,201.996,audio_features,39V80DsHqas6AxqoVCVDIr,spotify:track:39V80DsHqas6AxqoVCVDIr,https://api.spotify.com/v1/tracks/39V80DsHqas6AxqoVCVDIr,https://api.spotify.com/v1/audio-analysis/39V80DsHqas6AxqoVCVDIr,212855,3
Adeline,John-Robert,0.414,0.417,2,-9.01,1,0.0326,0.731,0.00276,0.0818,0.0902,94.999,audio_features,6dDXhN1Gssy8qonfDEa3EI,spotify:track:6dDXhN1Gssy8qonfDEa3EI,https://api.spotify.com/v1/tracks/6dDXhN1Gssy8qonfDEa3EI,https://api.spotify.com/v1/audio-analysis/6dDXhN1Gssy8qonfDEa3EI,228652,3
Featherstone,The Paper Kites,0.804,0.377,8,-13.673,1,0.0366,0.866,0.021,0.104,0.641,124.91,audio_features,7ldIYiFIvxPyTiy0iO9UqV,spotify:track:7ldIYiFIvxPyTiy0iO9UqV,https://api.spotify.com/v1/tracks/7ldIYiFIvxPyTiy0iO9UqV,https://api.spotify.com/v1/audio-analysis/7ldIYiFIvxPyTiy0iO9UqV,229627,4
Pretend,Hovvdy,0.614,0.467,11,-8.169,1,0.0325,0.63,0.914,0.107,0.621,172.056,audio_features,71WzoGZcDWzrKZqSkiY3Tz,spotify:track:71WzoGZcDWzrKZqSkiY3Tz,https://api.spotify.com/v1/tracks/71WzoGZcDWzrKZqSkiY3Tz,https://api.spotify.com/v1/audio-analysis/71WzoGZcDWzrKZqSkiY3Tz,153692,4
Wichita,The Eastern Plain,0.493,0.281,3,-12.521,0,0.0316,0.858,0.000205,0.106,0.31,124.942,audio_features,6b7j9PK107JFAb4OM2loie,spotify:track:6b7j9PK107JFAb4OM2loie,https://api.spotify.com/v1/tracks/6b7j9PK107JFAb4OM2loie,https://api.spotify.com/v1/audio-analysis/6b7j9PK107JFAb4OM2loie,204368,4
The River,Cat Clyde,0.634,0.0991,2,-10.523,1,0.0609,0.931,0.0,0.112,0.409,147.827,audio_features,67R4hNuwDWxDYGEd1lVlru,spotify:track:67R4hNuwDWxDYGEd1lVlru,https://api.spotify.com/v1/tracks/67R4hNuwDWxDYGEd1lVlru,https://api.spotify.com/v1/audio-analysis/67R4hNuwDWxDYGEd1lVlru,192110,4
Thin,Aquilo,0.604,0.406,0,-9.732,1,0.0569,0.511,0.0051,0.121,0.203,97.021,audio_features,7swTZr50nSpeq9469IJ9LI,spotify:track:7swTZr50nSpeq9469IJ9LI,https://api.spotify.com/v1/tracks/7swTZr50nSpeq9469IJ9LI,https://api.spotify.com/v1/audio-analysis/7swTZr50nSpeq9469IJ9LI,178477,4
Ease Me,Pageant Boys,0.605,0.281,5,-10.264,0,0.0379,0.917,0.296,0.114,0.286,131.993,audio_features,2AJkpwkDvAoj9al2tBWfK7,spotify:track:2AJkpwkDvAoj9al2tBWfK7,https://api.spotify.com/v1/tracks/2AJkpwkDvAoj9al2tBWfK7,https://api.spotify.com/v1/audio-analysis/2AJkpwkDvAoj9al2tBWfK7,227273,4
Partilhar,Rubel,0.478,0.279,4,-10.959,1,0.0866,0.826,0.07,0.153,0.336,115.047,audio_features,3WVBQjDRoUUTJnWVaUUEHL,spotify:track:3WVBQjDRoUUTJnWVaUUEHL,https://api.spotify.com/v1/tracks/3WVBQjDRoUUTJnWVaUUEHL,https://api.spotify.com/v1/audio-analysis/3WVBQjDRoUUTJnWVaUUEHL,337308,4
Hwy 18,Mark Diamond,0.485,0.228,9,-11.23,1,0.0292,0.885,3.65e-05,0.112,0.125,135.866,audio_features,5GDJpB4k5yzzjjNbi3MnTz,spotify:track:5GDJpB4k5yzzjjNbi3MnTz,https://api.spotify.com/v1/tracks/5GDJpB4k5yzzjjNbi3MnTz,https://api.spotify.com/v1/audio-analysis/5GDJpB4k5yzzjjNbi3MnTz,232500,4
Downtown,Lilla Vargen,0.431,0.334,1,-9.88,1,0.0319,0.651,0.0184,0.147,0.0449,94.492,audio_features,5OQlzJEpnbSd3f4ZBdh1lI,spotify:track:5OQlzJEpnbSd3f4ZBdh1lI,https://api.spotify.com/v1/tracks/5OQlzJEpnbSd3f4ZBdh1lI,https://api.spotify.com/v1/audio-analysis/5OQlzJEpnbSd3f4ZBdh1lI,249429,4
Heroes - 2017 Remaster,David Bowie,0.489,0.758,7,-6.491,1,0.0297,0.000678,0.49,0.092,0.435,112.113,audio_features,7Jh1bpe76CNTCgdgAdBw4Z,spotify:track:7Jh1bpe76CNTCgdgAdBw4Z,https://api.spotify.com/v1/tracks/7Jh1bpe76CNTCgdgAdBw4Z,https://api.spotify.com/v1/audio-analysis/7Jh1bpe76CNTCgdgAdBw4Z,371413,4
O Céu,Troco em Bala,0.419,0.421,1,-11.588,0,0.0324,0.366,0.835,0.17,0.213,113.305,audio_features,54rZE6vIzFU7cKld28NE7s,spotify:track:54rZE6vIzFU7cKld28NE7s,https://api.spotify.com/v1/tracks/54rZE6vIzFU7cKld28NE7s,https://api.spotify.com/v1/audio-analysis/54rZE6vIzFU7cKld28NE7s,230625,5
Like a Bird in a Mountain,Victor Olivatti,0.579,0.154,7,-17.818,1,0.0585,0.955,0.0488,0.26,0.47,122.568,audio_features,17b8JfOB3C9eSzockIBgvZ,spotify:track:17b8JfOB3C9eSzockIBgvZ,https://api.spotify.com/v1/tracks/17b8JfOB3C9eSzockIBgvZ,https://api.spotify.com/v1/audio-analysis/17b8JfOB3C9eSzockIBgvZ,178375,4
Me Leva,Phill Veras,0.628,0.345,9,-11.813,0,0.0328,0.479,0.052,0.0873,0.294,119.824,audio_features,4Pf4pygB5mb8PtEr1SMK1u,spotify:track:4Pf4pygB5mb8PtEr1SMK1u,https://api.spotify.com/v1/tracks/4Pf4pygB5mb8PtEr1SMK1u,https://api.spotify.com/v1/audio-analysis/4Pf4pygB5mb8PtEr1SMK1u,196787,4
Two Of Us On The Run,Lucius,0.416,0.287,2,-9.09,1,0.0309,0.769,0.0197,0.0769,0.211,79.705,audio_features,6dpPkJIg1nGcvcvFC1aXUR,spotify:track:6dpPkJIg1nGcvcvFC1aXUR,https://api.spotify.com/v1/tracks/6dpPkJIg1nGcvcvFC1aXUR,https://api.spotify.com/v1/audio-analysis/6dpPkJIg1nGcvcvFC1aXUR,275627,4
Lullaby,Atlas Bound,0.727,0.375,8,-9.172,1,0.0786,0.383,6.2e-06,0.1,0.162,73.015,audio_features,0jw2IKm30sbb6kK2WgHvmn,spotify:track:0jw2IKm30sbb6kK2WgHvmn,https://api.spotify.com/v1/tracks/0jw2IKm30sbb6kK2WgHvmn,https://api.spotify.com/v1/audio-analysis/0jw2IKm30sbb6kK2WgHvmn,220485,4
Loose Change for the Boatman,King Charles,0.267,0.672,4,-4.65,1,0.0373,0.0589,0.00026,0.102,0.143,170.152,audio_features,307cqh2ACTzBm3deY5uVzs,spotify:track:307cqh2ACTzBm3deY5uVzs,https://api.spotify.com/v1/tracks/307cqh2ACTzBm3deY5uVzs,https://api.spotify.com/v1/audio-analysis/307cqh2ACTzBm3deY5uVzs,242253,4
The Great Longing,Lost Under Heaven,0.387,0.261,3,-11.903,1,0.0335,0.673,0.000224,0.102,0.0564,123.794,audio_features,3KhDqe6lwslwDsDGFq9cvq,spotify:track:3KhDqe6lwslwDsDGFq9cvq,https://api.spotify.com/v1/tracks/3KhDqe6lwslwDsDGFq9cvq,https://api.spotify.com/v1/audio-analysis/3KhDqe6lwslwDsDGFq9cvq,311877,4
Aneurysm,Chelou,0.726,0.615,7,-11.086,1,0.0343,0.335,0.0497,0.144,0.0647,120.017,audio_features,3vhQHYQ6Lz08VzUuERJ06W,spotify:track:3vhQHYQ6Lz08VzUuERJ06W,https://api.spotify.com/v1/tracks/3vhQHYQ6Lz08VzUuERJ06W,https://api.spotify.com/v1/audio-analysis/3vhQHYQ6Lz08VzUuERJ06W,196000,4
Stolen,Dashboard Confessional,0.444,0.621,8,-5.057,1,0.0263,0.00102,0.058,0.0995,0.16,174.029,audio_features,2jpuRZSbcBgm7jgJy3ys3r,spotify:track:2jpuRZSbcBgm7jgJy3ys3r,https://api.spotify.com/v1/tracks/2jpuRZSbcBgm7jgJy3ys3r,https://api.spotify.com/v1/audio-analysis/2jpuRZSbcBgm7jgJy3ys3r,233333,4
Sense of Home,Harrison Storm,0.564,0.207,3,-10.926,1,0.032,0.892,1.8e-06,0.102,0.0898,139.933,audio_features,68wibJU4yMiqNX79IaLAsN,spotify:track:68wibJU4yMiqNX79IaLAsN,https://api.spotify.com/v1/tracks/68wibJU4yMiqNX79IaLAsN,https://api.spotify.com/v1/audio-analysis/68wibJU4yMiqNX79IaLAsN,265840,4
Einstein's Idea,Johnny Flynn,0.473,0.221,4,-10.84,1,0.0325,0.804,0.000217,0.096,0.133,107.977,audio_features,0muYLof9H50ElzamEgi6nt,spotify:track:0muYLof9H50ElzamEgi6nt,https://api.spotify.com/v1/tracks/0muYLof9H50ElzamEgi6nt,https://api.spotify.com/v1/audio-analysis/0muYLof9H50ElzamEgi6nt,349400,3
Heavy,Birdtalker,0.544,0.551,5,-7.112,1,0.0574,0.363,2.14e-05,0.157,0.289,77.654,audio_features,7DqOEFNBLOfF2X24eXbG2z,spotify:track:7DqOEFNBLOfF2X24eXbG2z,https://api.spotify.com/v1/tracks/7DqOEFNBLOfF2X24eXbG2z,https://api.spotify.com/v1/audio-analysis/7DqOEFNBLOfF2X24eXbG2z,264320,4
"I Hear Your Song, Sweetness",George Taylor,0.547,0.459,0,-10.5,0,0.0287,0.124,3.47e-06,0.104,0.375,135.968,audio_features,1NawD4ezwYuCtues1xG2Xj,spotify:track:1NawD4ezwYuCtues1xG2Xj,https://api.spotify.com/v1/tracks/1NawD4ezwYuCtues1xG2Xj,https://api.spotify.com/v1/audio-analysis/1NawD4ezwYuCtues1xG2Xj,233878,4
Songbird,The Technicolors,0.487,0.425,3,-10.983,0,0.0304,0.926,0.0997,0.371,0.209,142.885,audio_features,3GhY9OW479kbAQvnlR0uAt,spotify:track:3GhY9OW479kbAQvnlR0uAt,https://api.spotify.com/v1/tracks/3GhY9OW479kbAQvnlR0uAt,https://api.spotify.com/v1/audio-analysis/3GhY9OW479kbAQvnlR0uAt,159231,4
Same Dark Places - Acoustic Version,JR JR,0.469,0.316,0,-11.376,1,0.0347,0.903,0.00548,0.135,0.572,167.799,audio_features,0chBzUSAfMg133RaYd6b7X,spotify:track:0chBzUSAfMg133RaYd6b7X,https://api.spotify.com/v1/tracks/0chBzUSAfMg133RaYd6b7X,https://api.spotify.com/v1/audio-analysis/0chBzUSAfMg133RaYd6b7X,206007,4
As U Wave,halfnoise,0.452,0.763,9,-5.769,1,0.0305,0.669,0.678,0.192,0.451,150.017,audio_features,2qeGrFbgL4St7P4ArgXCS9,spotify:track:2qeGrFbgL4St7P4ArgXCS9,https://api.spotify.com/v1/tracks/2qeGrFbgL4St7P4ArgXCS9,https://api.spotify.com/v1/audio-analysis/2qeGrFbgL4St7P4ArgXCS9,219707,3
For You,Benji Lewis,0.646,0.357,0,-11.537,1,0.0402,0.82,0.0464,0.122,0.0932,120.099,audio_features,34fW9WmeI49SUTOTwW91kP,spotify:track:34fW9WmeI49SUTOTwW91kP,https://api.spotify.com/v1/tracks/34fW9WmeI49SUTOTwW91kP,https://api.spotify.com/v1/audio-analysis/34fW9WmeI49SUTOTwW91kP,232000,4
Warm Foothills,alt-J,0.272,0.21,2,-16.172,1,0.0407,0.92,0.167,0.0977,0.0678,92.679,audio_features,3gd9jFyf2AhJPi1HqHUVFP,spotify:track:3gd9jFyf2AhJPi1HqHUVFP,https://api.spotify.com/v1/tracks/3gd9jFyf2AhJPi1HqHUVFP,https://api.spotify.com/v1/audio-analysis/3gd9jFyf2AhJPi1HqHUVFP,225018,4
Youth,"Parks, Squares and Alleys",0.614,0.645,2,-10.526,1,0.0252,0.818,0.91,0.135,0.289,134.976,audio_features,0RMrqldYnjyoZziGlIvton,spotify:track:0RMrqldYnjyoZziGlIvton,https://api.spotify.com/v1/tracks/0RMrqldYnjyoZziGlIvton,https://api.spotify.com/v1/audio-analysis/0RMrqldYnjyoZziGlIvton,176060,4
Careless Man,"Matthew Perryman Jones, Young Summer",0.773,0.642,9,-8.911,1,0.0418,0.0333,0.401,0.106,0.484,97.017,audio_features,3biMJs3xhRTg13aZEWukty,spotify:track:3biMJs3xhRTg13aZEWukty,https://api.spotify.com/v1/tracks/3biMJs3xhRTg13aZEWukty,https://api.spotify.com/v1/audio-analysis/3biMJs3xhRTg13aZEWukty,227627,4
Wide-Eyed,Cold Weather Company,0.292,0.404,1,-7.492,1,0.0288,0.738,0.302,0.105,0.134,93.058,audio_features,67AmB2gk9L41eVSy590o1v,spotify:track:67AmB2gk9L41eVSy590o1v,https://api.spotify.com/v1/tracks/67AmB2gk9L41eVSy590o1v,https://api.spotify.com/v1/audio-analysis/67AmB2gk9L41eVSy590o1v,249804,3
Slacks,Valley,0.573,0.472,11,-12.427,1,0.0289,0.83,0.135,0.0937,0.0741,104.001,audio_features,2SYWArhFYrwDYm0gM1aonU,spotify:track:2SYWArhFYrwDYm0gM1aonU,https://api.spotify.com/v1/tracks/2SYWArhFYrwDYm0gM1aonU,https://api.spotify.com/v1/audio-analysis/2SYWArhFYrwDYm0gM1aonU,318960,4
Fancy Shoes,The Walters,0.689,0.368,0,-7.34,1,0.0263,0.588,0.0,0.101,0.738,104.057,audio_features,1YVVAiBD5WhX2ZdHtlSOhz,spotify:track:1YVVAiBD5WhX2ZdHtlSOhz,https://api.spotify.com/v1/tracks/1YVVAiBD5WhX2ZdHtlSOhz,https://api.spotify.com/v1/audio-analysis/1YVVAiBD5WhX2ZdHtlSOhz,134427,4
Going Thru,Christian Alexander,0.381,0.239,3,-9.37,1,0.0331,0.886,0.0147,0.117,0.143,103.266,audio_features,1G1zhTPT7ZlgZHsyjelcQg,spotify:track:1G1zhTPT7ZlgZHsyjelcQg,https://api.spotify.com/v1/tracks/1G1zhTPT7ZlgZHsyjelcQg,https://api.spotify.com/v1/audio-analysis/1G1zhTPT7ZlgZHsyjelcQg,313935,4
death bed (coffee for your head),"Powfu, beabadoobee",0.726,0.431,8,-8.765,0,0.135,0.731,0.0,0.696,0.348,144.026,audio_features,7eJMfftS33KTjuF7lTsMCx,spotify:track:7eJMfftS33KTjuF7lTsMCx,https://api.spotify.com/v1/tracks/7eJMfftS33KTjuF7lTsMCx,https://api.spotify.com/v1/audio-analysis/7eJMfftS33KTjuF7lTsMCx,173333,4
Brazilian Soul (feat. Sofi Tukker) - Acoustic Bossa Version,"The Knocks, Sofi Tukker",0.692,0.533,1,-9.473,1,0.0587,0.808,1.64e-05,0.11,0.631,83.529,audio_features,3xxz277NbYSFLbj1DRYtsf,spotify:track:3xxz277NbYSFLbj1DRYtsf,https://api.spotify.com/v1/tracks/3xxz277NbYSFLbj1DRYtsf,https://api.spotify.com/v1/audio-analysis/3xxz277NbYSFLbj1DRYtsf,250934,4
80's Comedown Machine,The Strokes,0.488,0.503,0,-8.89,1,0.0326,0.00583,0.809,0.101,0.38,144.035,audio_features,2lffRiAET2Xt6BNb4EmkS2,spotify:track:2lffRiAET2Xt6BNb4EmkS2,https://api.spotify.com/v1/tracks/2lffRiAET2Xt6BNb4EmkS2,https://api.spotify.com/v1/audio-analysis/2lffRiAET2Xt6BNb4EmkS2,298613,4
A letter to my younger self,Ambar Lucid,0.642,0.455,1,-7.558,0,0.0333,0.983,0.00561,0.105,0.725,91.718,audio_features,2m1W73aJNII9wafWkDn8S0,spotify:track:2m1W73aJNII9wafWkDn8S0,https://api.spotify.com/v1/tracks/2m1W73aJNII9wafWkDn8S0,https://api.spotify.com/v1/audio-analysis/2m1W73aJNII9wafWkDn8S0,138223,4
Dylan Thomas,"Better Oblivion Community Center, Phoebe Bridgers, Conor Oberst",0.592,0.805,2,-7.995,1,0.0371,0.000128,0.000211,0.0916,0.505,116.072,audio_features,6x14wL9HvABR2Rix8N88EH,spotify:track:6x14wL9HvABR2Rix8N88EH,https://api.spotify.com/v1/tracks/6x14wL9HvABR2Rix8N88EH,https://api.spotify.com/v1/audio-analysis/6x14wL9HvABR2Rix8N88EH,216787,4
Hidden Edelweiss,Spark Alaska,0.758,0.347,9,-13.068,1,0.0875,0.859,0.00597,0.302,0.273,143.443,audio_features,6xMFDLtFIiObaAuB42qHGW,spotify:track:6xMFDLtFIiObaAuB42qHGW,https://api.spotify.com/v1/tracks/6xMFDLtFIiObaAuB42qHGW,https://api.spotify.com/v1/audio-analysis/6xMFDLtFIiObaAuB42qHGW,220943,4
Shaayad,Taba Chake,0.606,0.472,8,-8.525,1,0.0307,0.685,1.11e-05,0.114,0.439,94.972,audio_features,669PEr8I3wOswY8BANBpdh,spotify:track:669PEr8I3wOswY8BANBpdh,https://api.spotify.com/v1/tracks/669PEr8I3wOswY8BANBpdh,https://api.spotify.com/v1/audio-analysis/669PEr8I3wOswY8BANBpdh,208000,4
Kill All Your Friends,My Chemical Romance,0.472,0.902,7,-3.66,1,0.0441,0.000825,3.27e-05,0.121,0.493,102.564,audio_features,65wICNTM2s1PwXSgKt8f0a,spotify:track:65wICNTM2s1PwXSgKt8f0a,https://api.spotify.com/v1/tracks/65wICNTM2s1PwXSgKt8f0a,https://api.spotify.com/v1/audio-analysis/65wICNTM2s1PwXSgKt8f0a,268883,4
Northern Downpour,Panic! At The Disco,0.47,0.474,5,-9.406,1,0.0262,0.0643,0.0,0.0645,0.241,170.173,audio_features,0tutU5E5kMR3bY8sZllpoJ,spotify:track:0tutU5E5kMR3bY8sZllpoJ,https://api.spotify.com/v1/tracks/0tutU5E5kMR3bY8sZllpoJ,https://api.spotify.com/v1/audio-analysis/0tutU5E5kMR3bY8sZllpoJ,247773,4
Ocean,dontask,0.647,0.29,4,-16.196,1,0.0811,0.682,0.0,0.0965,0.271,74.987,audio_features,1mGppNewxmuC9tpXhgZ2kO,spotify:track:1mGppNewxmuC9tpXhgZ2kO,https://api.spotify.com/v1/tracks/1mGppNewxmuC9tpXhgZ2kO,https://api.spotify.com/v1/audio-analysis/1mGppNewxmuC9tpXhgZ2kO,249661,4
I Spend Too Much Time in My Room,The Band CAMINO,0.467,0.439,9,-7.221,1,0.0251,0.39,0.00385,0.514,0.151,97.068,audio_features,5yGZ0DhhktOyE2sPPSX2Q8,spotify:track:5yGZ0DhhktOyE2sPPSX2Q8,https://api.spotify.com/v1/tracks/5yGZ0DhhktOyE2sPPSX2Q8,https://api.spotify.com/v1/audio-analysis/5yGZ0DhhktOyE2sPPSX2Q8,272378,4
Suit And Jacket,Judah & the Lion,0.452,0.58,10,-8.613,1,0.0462,0.222,3.23e-05,0.101,0.111,164.162,audio_features,2ZYBwkmtYhgUj1A7teYAZ7,spotify:track:2ZYBwkmtYhgUj1A7teYAZ7,https://api.spotify.com/v1/tracks/2ZYBwkmtYhgUj1A7teYAZ7,https://api.spotify.com/v1/audio-analysis/2ZYBwkmtYhgUj1A7teYAZ7,222256,4
I Miss You,blink-182,0.423,0.714,11,-8.295,1,0.045,0.00113,6.28e-06,0.0855,0.593,110.017,audio_features,1AdYZ6X00nXmO613Y7GJOl,spotify:track:1AdYZ6X00nXmO613Y7GJOl,https://api.spotify.com/v1/tracks/1AdYZ6X00nXmO613Y7GJOl,https://api.spotify.com/v1/audio-analysis/1AdYZ6X00nXmO613Y7GJOl,227250,4
All I Know,Noah Kittinger,0.776,0.432,8,-10.844,1,0.0389,0.798,0.77,0.0989,0.748,125.291,audio_features,0GevyB8xMZvEMNtyVCOxLf,spotify:track:0GevyB8xMZvEMNtyVCOxLf,https://api.spotify.com/v1/tracks/0GevyB8xMZvEMNtyVCOxLf,https://api.spotify.com/v1/audio-analysis/0GevyB8xMZvEMNtyVCOxLf,265953,4
Unrequited Love (& other clichés),Breakup Shoes,0.385,0.468,4,-9.588,1,0.0251,0.291,0.0293,0.0892,0.248,81.331,audio_features,1K0AENxzuLi4M420wUlvPT,spotify:track:1K0AENxzuLi4M420wUlvPT,https://api.spotify.com/v1/tracks/1K0AENxzuLi4M420wUlvPT,https://api.spotify.com/v1/audio-analysis/1K0AENxzuLi4M420wUlvPT,286012,3
Apocalypse,Cigarettes After Sex,0.37,0.467,5,-9.013,1,0.0273,0.0205,0.572,0.109,0.182,94.485,audio_features,0yc6Gst2xkRu0eMLeRMGCX,spotify:track:0yc6Gst2xkRu0eMLeRMGCX,https://api.spotify.com/v1/tracks/0yc6Gst2xkRu0eMLeRMGCX,https://api.spotify.com/v1/audio-analysis/0yc6Gst2xkRu0eMLeRMGCX,290617,4
Hallucinate,Oliver Riot,0.529,0.298,7,-13.896,1,0.0397,0.683,0.503,0.0804,0.0966,82.041,audio_features,0qnSjipvB268SHMbNSxZ7y,spotify:track:0qnSjipvB268SHMbNSxZ7y,https://api.spotify.com/v1/tracks/0qnSjipvB268SHMbNSxZ7y,https://api.spotify.com/v1/audio-analysis/0qnSjipvB268SHMbNSxZ7y,206711,4
Somewhere Only We Know,Keane,0.448,0.665,9,-4.203,1,0.026,0.06,2.55e-05,0.0828,0.304,172.004,audio_features,1SKPmfSYaPsETbRHaiA18G,spotify:track:1SKPmfSYaPsETbRHaiA18G,https://api.spotify.com/v1/tracks/1SKPmfSYaPsETbRHaiA18G,https://api.spotify.com/v1/audio-analysis/1SKPmfSYaPsETbRHaiA18G,237147,4
Anchor,Novo Amor,0.457,0.407,9,-11.475,1,0.0308,0.805,0.884,0.126,0.126,117.053,audio_features,7qH9Z4dJEN0l9bidizW7fq,spotify:track:7qH9Z4dJEN0l9bidizW7fq,https://api.spotify.com/v1/tracks/7qH9Z4dJEN0l9bidizW7fq,https://api.spotify.com/v1/audio-analysis/7qH9Z4dJEN0l9bidizW7fq,257533,4
Coastline,Hollow Coves,0.67,0.496,2,-11.23,1,0.0277,0.627,0.00325,0.0584,0.427,100.17,audio_features,2KCqAdd2ad0hpJc5ySoTE8,spotify:track:2KCqAdd2ad0hpJc5ySoTE8,https://api.spotify.com/v1/tracks/2KCqAdd2ad0hpJc5ySoTE8,https://api.spotify.com/v1/audio-analysis/2KCqAdd2ad0hpJc5ySoTE8,233973,4
Quando Bate Aquela Saudade,Rubel,0.55,0.314,7,-14.133,1,0.0326,0.895,0.0107,0.188,0.595,90.088,audio_features,76bcaYeKOKTrj9lEc9BZFU,spotify:track:76bcaYeKOKTrj9lEc9BZFU,https://api.spotify.com/v1/tracks/76bcaYeKOKTrj9lEc9BZFU,https://api.spotify.com/v1/audio-analysis/76bcaYeKOKTrj9lEc9BZFU,394707,4
Nostalgique,The Eastern Plain,0.642,0.468,9,-11.317,1,0.0287,0.732,0.805,0.101,0.496,124.974,audio_features,2IhUmUhs9gCN2mCCuQHIPJ,spotify:track:2IhUmUhs9gCN2mCCuQHIPJ,https://api.spotify.com/v1/tracks/2IhUmUhs9gCN2mCCuQHIPJ,https://api.spotify.com/v1/audio-analysis/2IhUmUhs9gCN2mCCuQHIPJ,220630,4
Stringsnoise,"Samuel Proffitt, Yoke Lore",0.143,0.374,7,-10.446,0,0.032,0.0211,4.84e-05,0.116,0.0757,79.995,audio_features,78phUJYhGDpYur3XNICQQY,spotify:track:78phUJYhGDpYur3XNICQQY,https://api.spotify.com/v1/tracks/78phUJYhGDpYur3XNICQQY,https://api.spotify.com/v1/audio-analysis/78phUJYhGDpYur3XNICQQY,205280,4
Paul,Big Thief,0.483,0.263,11,-11.541,1,0.0401,0.199,0.000306,0.109,0.166,123.453,audio_features,1uP8UVMXcTJn28TbhfR2Wo,spotify:track:1uP8UVMXcTJn28TbhfR2Wo,https://api.spotify.com/v1/tracks/1uP8UVMXcTJn28TbhfR2Wo,https://api.spotify.com/v1/audio-analysis/1uP8UVMXcTJn28TbhfR2Wo,183895,4
Vermelho,Marcelo Camelo,0.589,0.435,2,-8.332,1,0.0278,0.718,0.0166,0.109,0.456,95.049,audio_features,36xZeDLfY3pSGZdQadvEvd,spotify:track:36xZeDLfY3pSGZdQadvEvd,https://api.spotify.com/v1/tracks/36xZeDLfY3pSGZdQadvEvd,https://api.spotify.com/v1/audio-analysis/36xZeDLfY3pSGZdQadvEvd,302280,4
Crystalline,Jome,0.614,0.502,2,-8.594,1,0.0305,0.526,0.00346,0.415,0.281,94.961,audio_features,6DvMHPpNxxozZYyL9WjK2O,spotify:track:6DvMHPpNxxozZYyL9WjK2O,https://api.spotify.com/v1/tracks/6DvMHPpNxxozZYyL9WjK2O,https://api.spotify.com/v1/audio-analysis/6DvMHPpNxxozZYyL9WjK2O,176704,4
Berlin,Bear's Den,0.499,0.406,1,-13.85,1,0.0336,0.876,0.00767,0.0994,0.334,90.91,audio_features,7i3MO9TWVzZyfLghMs6qH5,spotify:track:7i3MO9TWVzZyfLghMs6qH5,https://api.spotify.com/v1/tracks/7i3MO9TWVzZyfLghMs6qH5,https://api.spotify.com/v1/audio-analysis/7i3MO9TWVzZyfLghMs6qH5,269233,4
Green Buttons,Tiago Saga,0.583,0.263,9,-8.005,1,0.0431,0.771,0.0,0.0871,0.148,126.433,audio_features,5q2xlArAzx7UHtbDSwIYPJ,spotify:track:5q2xlArAzx7UHtbDSwIYPJ,https://api.spotify.com/v1/tracks/5q2xlArAzx7UHtbDSwIYPJ,https://api.spotify.com/v1/audio-analysis/5q2xlArAzx7UHtbDSwIYPJ,270107,4
Why Do I Wait (When I Know You've Got a Lover),The Zolas,0.561,0.411,2,-9.386,1,0.0242,0.213,0.0174,0.0714,0.119,90.985,audio_features,2Wl4MbBRtan8gr0C8qUSGT,spotify:track:2Wl4MbBRtan8gr0C8qUSGT,https://api.spotify.com/v1/tracks/2Wl4MbBRtan8gr0C8qUSGT,https://api.spotify.com/v1/audio-analysis/2Wl4MbBRtan8gr0C8qUSGT,279907,4
Nave Espacial,Samantha Machado,0.682,0.546,11,-9.207,0,0.0425,0.384,1.91e-05,0.145,0.0766,120.068,audio_features,57MkRx712OdCQFCD2F4Yzc,spotify:track:57MkRx712OdCQFCD2F4Yzc,https://api.spotify.com/v1/tracks/57MkRx712OdCQFCD2F4Yzc,https://api.spotify.com/v1/audio-analysis/57MkRx712OdCQFCD2F4Yzc,142000,4
I Meant To Hurt You,D.I.D,0.5,0.482,6,-7.717,1,0.0332,0.00945,0.0,0.0815,0.225,137.922,audio_features,58UM4xyufOAwhpvmfCBPyD,spotify:track:58UM4xyufOAwhpvmfCBPyD,https://api.spotify.com/v1/tracks/58UM4xyufOAwhpvmfCBPyD,https://api.spotify.com/v1/audio-analysis/58UM4xyufOAwhpvmfCBPyD,288093,4
Choke,I DONT KNOW HOW BUT THEY FOUND ME,0.516,0.85,4,-3.909,0,0.0706,0.00139,0.0,0.296,0.583,120.324,audio_features,37mfTcSlX60JtAvAETytGs,spotify:track:37mfTcSlX60JtAvAETytGs,https://api.spotify.com/v1/tracks/37mfTcSlX60JtAvAETytGs,https://api.spotify.com/v1/audio-analysis/37mfTcSlX60JtAvAETytGs,195717,4
Matilda,alt-J,0.581,0.675,2,-9.208,1,0.0299,0.787,0.4,0.116,0.276,147.982,audio_features,4qx6KUiBAsuZB9ubcreapu,spotify:track:4qx6KUiBAsuZB9ubcreapu,https://api.spotify.com/v1/tracks/4qx6KUiBAsuZB9ubcreapu,https://api.spotify.com/v1/audio-analysis/4qx6KUiBAsuZB9ubcreapu,228707,4
